name,zip_code,city,state_code,address,phone,categories,id,is_close,price,rating,review_number,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19
Rahi,10011,New York,NY,60 Greenwich Ave_New York_ NY 10011_,(212) 373-8900,indpak;breakfast_brunch;cocktailbars;,rahi-new-york,FALSE,$$$,4.5,26,,,,,,,,,,,,,,,,,,,
The Eddy,10003,New York,NY,342 E 6th St_New York_ NY 10003_,(646) 895-9884,American_newcocktailbars;wine_bars;,the-eddy-new-york,FALSE,$$$,4.5,298,,,,,,,,,,,,,,,,,,,
The Growler Bites & Brews,10004,New York,NY,55 Stone St_New York_ NY 10004_,(917) 409-0251,breweries;bars;,the-growler-bites-and-brews-new-york,FALSE,$$,4,234,,,,,,,,,,,,,,,,,,,
foreign_name,10019,New York,NY,Chambers Hotel_15 W 56th St_New York_ NY 10019_,(212) 757-5878,American_newbreakfast_brunch;,error id,FALSE,$$$,3.5,937,,,,,,,,,,,,,,,,,,,
Gabriel Kreuther,10036,New York,NY,41 W 42nd St_New York_ NY 10036_,(212) 257-5826,bars;french;,gabriel-kreuther-new-york,FALSE,$$$$,4.5,200,,,,,,,,,,,,,,,,,,,
foreign_name,10014,New York,NY,3 Greenwich Ave_New York_ NY 10014_,(212) 243-6546,pizza;Italiandesserts;,error id,FALSE,$$,4,783,,,,,,,,,,,,,,,,,,,
Marc Forgione,10013,New York,NY,134 Reade St_New York_ NY 10013_,(212) 941-9401,American_new,marc-forgione-new-york-2,FALSE,$$$,4,755,,,,,,,,,,,,,,,,,,,
Gotham Bar and Grill,10003,New York,NY,12 E 12th St_New York_ NY 10003_,(212) 620-4020,American_newbars;,gotham-bar-and-grill-new-york,FALSE,$$$$,4.5,1306,,,,,,,,,,,,,,,,,,,
Butter Midtown,10036,New York,NY,70 W 45th St_New York_ NY 10036_,(212) 253-2828,American_new,butter-midtown-new-york,FALSE,$$$,3.5,585,,,,,,,,,,,,,,,,,,,
Mozzarella & Vino,10019,New York,NY,33 W 54th St_New York_ NY 10019_,(646) 692-8849,Italiansalad;wine_bars;,mozzarella-and-vino-new-york,FALSE,$$,4,144,,,,,,,,,,,,,,,,,,,
Mughlai,10002,New York,NY,6 Clinton St_New York_ NY 10002_,(212) 533-2828,indpak;,mughlai-new-york-2,FALSE,$$,5,44,,,,,,,,,,,,,,,,,,,
The NoMad Restaurant,10001,New York,NY,1170 Broadway_New York_ NY 10001_,(347) 472-5660,french;American_newgastropubs;,the-nomad-restaurant-new-york,FALSE,$$$,4,1179,,,,,,,,,,,,,,,,,,,
Villanelle,10003,New York,NY,15 E 12th St_New York_ NY 10003_,(212) 989-2474,American_newdesserts;seafood;,villanelle-new-york,FALSE,$$$,4.5,22,,,,,,,,,,,,,,,,,,,
Frying Pan,10001,New York,NY,Pier 66 Maritime_New York_ NY 10001_,(212) 989-6363,bars;landmarks;,frying-pan-new-york,FALSE,$$,4,1185,,,,,,,,,,,,,,,,,,,
Maison Pickle,10024,New York,NY,2313 Broadway_New York_ NY 10024_,(212) 496-9100,cocktailbars;comfortfood;sandwiches;,maison-pickle-new-york,FALSE,$$,4,199,,,,,,,,,,,,,,,,,,,
Robert,10019,New York,NY,2 Columbus Cir_Fl 9_New York_ NY 10019_,(212) 299-7730,American_newbreakfast_brunch;,robert-new-york-25,FALSE,$$$,4,674,,,,,,,,,,,,,,,,,,,
Ousia,10019,New York,NY,629 W 57th St_New York_ NY 10019_,(212) 333-2000,mediterranean;greek;,ousia-new-york,FALSE,$$,4.5,57,,,,,,,,,,,,,,,,,,,
Foragers Table,10011,New York,NY,300 W 22nd St_New York_ NY 10011_,(212) 243-8888,breakfast_brunch;American_newwine_bars;,foragers-table-new-york-3,FALSE,$$,4,368,,,,,,,,,,,,,,,,,,,
Atlantic Grill,10023,New York,NY,49 W 64th St_New York_ NY 10023_,(212) 787-4663,American_newseafood;sushi;,atlantic-grill-new-york-3,FALSE,$$$,4,448,,,,,,,,,,,,,,,,,,,
The Red Cat,10011,New York,NY,227 10th Ave_New York_ NY 10011_,(212) 242-1122,American_newdesserts;breakfast_brunch;,the-red-cat-new-york,FALSE,$$$,4,618,,,,,,,,,,,,,,,,,,,
Dim Sum Palace,10036,New York,NY,334 W 46th St_New York_ NY 10036_,(646) 861-1910,dimsum;cantonese;,dim-sum-palace-new-york-2,FALSE,$$,4,408,,,,,,,,,,,,,,,,,,,
Angkor Cambodian Bistro,10065,New York,NY,408 E 64th St_New York_ NY 10065_,(212) 758-2111,cambodian;salad;seafood;,angkor-cambodian-bistro-new-york,FALSE,$$,4.5,138,,,,,,,,,,,,,,,,,,,
Pellegrino's Italian Restaurant,10013,New York,NY,138 Mulberry St_New York_ NY 10013_,(212) 226-3177,Italiandesserts;wine_bars;,pellegrinos-italian-restaurant-new-york,FALSE,$$,4,569,,,,,,,,,,,,,,,,,,,
Izakaya MEW,10001,New York,NY,53 W 35th St_New York_ NY 10001_,(646) 368-9384,sushi;izakaya;cocktailbars;,izakaya-mew-new-york-3,FALSE,$$,4,1395,,,,,,,,,,,,,,,,,,,
Chef's Table at Brooklyn Fare,10018,New York,NY,431 W 37th St_New York_ NY 10018_,(718) 243-0050,Japanese,chefs-table-at-brooklyn-fare-new-york,FALSE,$$$$,4.5,378,,,,,,,,,,,,,,,,,,,
ABCV,10003,New York,NY,38 E 19th St_New York_ NY 10003_,(212) 475-5829,American_newvegetarian;bars;,abcv-new-york-2,FALSE,$$$,4,51,,,,,,,,,,,,,,,,,,,
Lokal 83 Mediterranian Kitchen,10024,New York,NY,473 Columbus Ave_New York_ NY 10024_,(212) 595-5554,mediterranean;American_newtapasmallplates;,lokal-83-mediterranian-kitchen-new-york,FALSE,$$,4,41,,,,,,,,,,,,,,,,,,,
Bohemian Restaurant,10012,New York,NY,57 Great Jones St_New York_ NY 10012_,,Japanesecocktailbars;burgers;,bohemian-restaurant-new-york,FALSE,$$$,4.5,554,,,,,,,,,,,,,,,,,,,
Lillie's Victorian Establishment,10019,New York,NY,249 W 49th St_New York_ NY 10019_,(212) 957-4530,bars;gastropubs;burgers;,lillies-victorian-establishment-new-york-2,FALSE,$$,4,969,,,,,,,,,,,,,,,,,,,
Wallflower,10014,New York,NY,235 W 12th St_New York_ NY 10014_,(646) 682-9842,American_new,wallflower-new-york,FALSE,$$$,4.5,198,,,,,,,,,,,,,,,,,,,
Samba Kitchen & Bar,10036,New York,NY,661 9th Ave_New York_ NY 10036_,(212) 256-0170,cocktailbars;brazilian;breakfast_brunch;,samba-kitchen-and-bar-new-york,FALSE,$$,4.5,176,,,,,,,,,,,,,,,,,,,
The Mermaid Inn,10024,New York,NY,570 Amsterdam Ave_New York_ NY 10024_,(212) 799-7400,seafood;breakfast_brunch;,the-mermaid-inn-new-york-2,FALSE,$$,4,819,,,,,,,,,,,,,,,,,,,
Del Frisco's Double Eagle Steak House,10020,New York,NY,1221 Ave Of The Americas_New York_ NY 10020_,(212) 575-5129,steak;American_newseafood;,del-friscos-double-eagle-steak-house-new-york-2,FALSE,$$$$,4.5,2075,,,,,,,,,,,,,,,,,,,
Colors,10002,New York,NY,178 Stanton St_New York_ NY 10002_,(212) 777-8443,American_newgluten_free;,colors-new-york-4,FALSE,$$,5,21,,,,,,,,,,,,,,,,,,,
